epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,611.434,1.08931,1.86561,1.42598,0.0128,0.61111,0.17681,0.13263,1.58603,3.87481,1.54339,0.000415043,0.000415043,0.000415043
26,629.026,1.17502,2.06206,1.48559,0.01349,0.66667,0.16108,0.11773,1.58595,3.90249,1.56744,0.000426374,0.000426374,0.000426374
27,647.635,1.0747,1.74314,1.43371,0.01407,0.66667,0.12276,0.09374,1.62242,3.86688,1.59258,0.000437265,0.000437265,0.000437265
28,665.574,1.10843,1.6971,1.37074,0.01407,0.66667,0.12276,0.09374,1.62242,3.86688,1.59258,0.000447716,0.000447716,0.000447716
29,683.229,1.13092,2.03181,1.51408,0.01365,0.66667,0.14227,0.11086,1.51278,3.89341,1.50465,0.000457728,0.000457728,0.000457728
30,701.087,1.0876,1.70785,1.35436,0.01367,0.66667,0.1134,0.08709,1.49081,3.97029,1.46298,0.000467299,0.000467299,0.000467299
31,718.233,0.96179,1.51169,1.27938,0.01367,0.66667,0.1134,0.08709,1.49081,3.97029,1.46298,0.00047643,0.00047643,0.00047643
32,735.719,0.97593,1.82017,1.30886,0.01391,0.61111,0.11029,0.08411,1.61546,3.96646,1.49986,0.000485121,0.000485121,0.000485121
33,753.299,1.0994,1.77056,1.38364,0.01448,0.61111,0.09849,0.0723,1.6266,3.95308,1.52864,0.000493373,0.000493373,0.000493373
34,770.823,0.98826,1.79555,1.29722,0.01448,0.61111,0.09849,0.0723,1.6266,3.95308,1.52864,0.000501184,0.000501184,0.000501184
35,788.723,1.08075,1.68666,1.36143,0.01416,0.66667,0.1886,0.13398,1.5888,3.84144,1.53505,0.000508556,0.000508556,0.000508556
36,806.199,0.91656,1.70511,1.28272,0.01265,0.72222,0.3967,0.2787,1.51761,3.69093,1.4839,0.000515487,0.000515487,0.000515487
37,823.633,0.87569,1.48826,1.24962,0.01265,0.72222,0.3967,0.2787,1.51761,3.69093,1.4839,0.000521979,0.000521979,0.000521979
38,841.479,1.03521,1.6485,1.33773,0.05841,0.37934,0.39338,0.20695,1.57067,3.58987,1.47293,0.000528031,0.000528031,0.000528031
39,859.604,1.04865,1.7423,1.32736,0.37312,0.33333,0.13724,0.05963,1.49062,3.66041,1.42122,0.000533642,0.000533642,0.000533642
40,877.099,0.94287,1.6617,1.26248,0.37312,0.33333,0.13724,0.05963,1.49062,3.66041,1.42122,0.000538814,0.000538814,0.000538814
41,894.633,1.09696,1.68579,1.3979,0.36519,0.33333,0.10083,0.05314,1.46631,3.71313,1.42781,0.000543546,0.000543546,0.000543546
42,912.558,0.96823,1.5165,1.26619,0.01502,0.77778,0.07949,0.04633,1.50148,3.8007,1.51184,0.000547837,0.000547837,0.000547837
43,929.917,1.06018,1.67209,1.36142,0.01502,0.77778,0.07949,0.04633,1.50148,3.8007,1.51184,0.000551689,0.000551689,0.000551689
44,947.409,0.88745,1.50487,1.22643,0.01492,0.77778,0.08912,0.04673,1.51146,3.82417,1.54554,0.000555101,0.000555101,0.000555101
45,964.853,0.959,1.60599,1.28321,0.01492,0.77778,0.08912,0.04673,1.51146,3.82417,1.54554,0.000558073,0.000558073,0.000558073
46,982.626,1.07771,1.52281,1.33408,0.01189,0.72222,0.08086,0.042,1.53053,3.86437,1.61407,0.000560605,0.000560605,0.000560605
47,1000.18,0.95042,1.4973,1.28859,0.01189,0.72222,0.08086,0.042,1.53053,3.86437,1.61407,0.000562697,0.000562697,0.000562697
48,1017.72,0.92685,1.41973,1.24181,0.07791,0.44444,0.13023,0.0826,1.65223,3.94905,1.68328,0.000564349,0.000564349,0.000564349
49,1035.33,1.00751,1.57606,1.32502,0.07791,0.44444,0.13023,0.0826,1.65223,3.94905,1.68328,0.000565561,0.000565561,0.000565561
50,1053.33,0.85972,1.45812,1.25243,0.77314,0.31943,0.16208,0.11721,1.65383,3.92259,1.68496,0.000566333,0.000566333,0.000566333
51,1070.65,0.97339,1.61645,1.26362,0.77314,0.31943,0.16208,0.11721,1.65383,3.92259,1.68496,0.000561055,0.000561055,0.000561055
52,1088.2,1.02807,1.76492,1.32026,0.76828,0.30484,0.18447,0.1335,1.59907,4.01485,1.64697,0.000550056,0.000550056,0.000550056
53,1105.89,0.88924,1.46919,1.27483,0.76828,0.30484,0.18447,0.1335,1.59907,4.01485,1.64697,0.000539057,0.000539057,0.000539057
54,1123.42,0.95225,1.56316,1.24002,0.36019,0.33333,0.13523,0.095,1.54294,4.07092,1.60238,0.000528058,0.000528058,0.000528058
55,1141.01,1.01334,1.40702,1.2814,0.36019,0.33333,0.13523,0.095,1.54294,4.07092,1.60238,0.000517059,0.000517059,0.000517059
56,1158.51,0.94408,1.57982,1.29941,0.0115,0.66667,0.1478,0.10481,1.55943,4.06937,1.60139,0.00050606,0.00050606,0.00050606
57,1176.02,0.95366,1.39408,1.23122,0.0115,0.66667,0.1478,0.10481,1.55943,4.06937,1.60139,0.000495062,0.000495062,0.000495062
58,1192.64,0.87064,1.30538,1.18205,0.14011,0.05556,0.16584,0.1086,1.54662,3.96092,1.63616,0.000484063,0.000484063,0.000484063
59,1209.81,0.89184,1.29712,1.19005,0.14011,0.05556,0.16584,0.1086,1.54662,3.96092,1.63616,0.000473064,0.000473064,0.000473064
60,1226.59,0.96564,1.39486,1.27119,0.1257,0.05556,0.18608,0.11928,1.5087,3.79268,1.64253,0.000462065,0.000462065,0.000462065
61,1242.93,0.84517,1.34482,1.16796,0.1257,0.05556,0.18608,0.11928,1.5087,3.79268,1.64253,0.000451066,0.000451066,0.000451066
62,1259.38,0.91864,1.34512,1.25961,0.11473,0.05556,0.16324,0.10574,1.43264,3.67016,1.61974,0.000440067,0.000440067,0.000440067
63,1276.15,0.87802,1.35079,1.2382,0.11473,0.05556,0.16324,0.10574,1.43264,3.67016,1.61974,0.000429068,0.000429068,0.000429068
64,1296.11,0.9406,1.31445,1.26918,0.14205,0.08649,0.17872,0.10539,1.48443,3.75887,1.62117,0.000418069,0.000418069,0.000418069
65,1314.02,0.85869,1.26352,1.19178,0.14205,0.08649,0.17872,0.10539,1.48443,3.75887,1.62117,0.00040707,0.00040707,0.00040707
66,1333.26,0.93474,1.37827,1.18776,0.00838,0.77778,0.21167,0.11671,1.47161,3.80394,1.61267,0.000396071,0.000396071,0.000396071
67,1350.69,0.86116,1.2469,1.24745,0.00838,0.77778,0.21167,0.11671,1.47161,3.80394,1.61267,0.000385073,0.000385073,0.000385073
68,1368.77,0.75744,1.21634,1.15697,0.12041,0.06485,0.22235,0.13674,1.5194,3.7642,1.66702,0.000374074,0.000374074,0.000374074
69,1387.07,0.86807,1.22371,1.16194,0.12041,0.06485,0.22235,0.13674,1.5194,3.7642,1.66702,0.000363075,0.000363075,0.000363075
70,1404.72,0.88061,1.32126,1.19115,0.23999,0.14666,0.2238,0.152,1.52795,3.7282,1.66262,0.000352076,0.000352076,0.000352076
71,1422.98,0.86554,1.25721,1.15381,0.23999,0.14666,0.2238,0.152,1.52795,3.7282,1.66262,0.000341077,0.000341077,0.000341077
72,1439.47,0.73195,1.14243,1.09376,0.2119,0.16667,0.22997,0.15391,1.50713,3.633,1.66771,0.000330078,0.000330078,0.000330078
73,1456.12,0.75174,1.07806,1.09297,0.2119,0.16667,0.22997,0.15391,1.50713,3.633,1.66771,0.000319079,0.000319079,0.000319079
74,1474.06,0.75454,1.1489,1.13041,0.21023,0.19223,0.23558,0.13382,1.43402,3.55866,1.67366,0.00030808,0.00030808,0.00030808
75,1494.29,0.75138,1.1821,1.15776,0.21023,0.19223,0.23558,0.13382,1.43402,3.55866,1.67366,0.000297081,0.000297081,0.000297081
76,1517.72,0.77604,1.09013,1.12061,0.19863,0.22222,0.23275,0.13678,1.40814,3.47782,1.68343,0.000286083,0.000286083,0.000286083
77,1536.68,0.75279,1.26355,1.15295,0.19863,0.22222,0.23275,0.13678,1.40814,3.47782,1.68343,0.000275084,0.000275084,0.000275084
78,1553.54,0.74875,1.16507,1.1097,0.19265,0.22222,0.23689,0.14213,1.40957,3.41598,1.70415,0.000264085,0.000264085,0.000264085
79,1570.18,0.72028,1.01794,1.12791,0.19265,0.22222,0.23689,0.14213,1.40957,3.41598,1.70415,0.000253086,0.000253086,0.000253086
80,1586.91,0.74267,1.18294,1.11165,0.1942,0.22222,0.23551,0.14153,1.39302,3.38225,1.69613,0.000242087,0.000242087,0.000242087
81,1608.46,0.7384,1.13568,1.07866,0.1942,0.22222,0.23551,0.14153,1.39302,3.38225,1.69613,0.000231088,0.000231088,0.000231088
82,1627.4,0.77101,1.1373,1.08087,0.20223,0.22222,0.22289,0.13081,1.37697,3.41424,1.66623,0.000220089,0.000220089,0.000220089
83,1644.35,0.71114,1.07269,1.0587,0.20223,0.22222,0.22289,0.13081,1.37697,3.41424,1.66623,0.00020909,0.00020909,0.00020909
84,1662.02,0.67805,1.13956,1.10596,0.2177,0.21092,0.22685,0.1418,1.36508,3.41946,1.65566,0.000198091,0.000198091,0.000198091
85,1678.45,0.76789,1.18268,1.19322,0.2177,0.21092,0.22685,0.1418,1.36508,3.41946,1.65566,0.000187092,0.000187092,0.000187092
86,1695,0.67642,1.09273,1.08034,0.14023,0.1226,0.22001,0.14655,1.39513,3.43736,1.6603,0.000176094,0.000176094,0.000176094
87,1713.06,0.80715,1.11963,1.12662,0.14023,0.1226,0.22001,0.14655,1.39513,3.43736,1.6603,0.000165095,0.000165095,0.000165095
88,1730.71,0.72228,1.1384,1.15726,0.48485,0.14142,0.20999,0.12792,1.42245,3.45311,1.66532,0.000154096,0.000154096,0.000154096
89,1747.76,0.67767,1.03257,1.09352,0.48485,0.14142,0.20999,0.12792,1.42245,3.45311,1.66532,0.000143097,0.000143097,0.000143097
90,1764.47,0.76643,1.20269,1.08149,0.52145,0.14686,0.22153,0.14198,1.44843,3.46015,1.6767,0.000132098,0.000132098,0.000132098
91,1783.12,0.70681,1.23074,1.0961,0.52145,0.14686,0.22153,0.14198,1.44843,3.46015,1.6767,0.000121099,0.000121099,0.000121099
92,1799.62,0.72371,1.24853,1.14568,0.53415,0.16871,0.22451,0.1395,1.45711,3.46019,1.67541,0.0001101,0.0001101,0.0001101
93,1818.52,0.65359,1.21261,1.04168,0.53415,0.16871,0.22451,0.1395,1.45711,3.46019,1.67541,9.91012e-05,9.91012e-05,9.91012e-05
94,1834.88,0.59872,1.17469,1.05225,0.18216,0.16667,0.21533,0.13856,1.45402,3.45746,1.66225,8.81023e-05,8.81023e-05,8.81023e-05
95,1851.15,0.66797,1.32722,1.08958,0.18216,0.16667,0.21533,0.13856,1.45402,3.45746,1.66225,7.71034e-05,7.71034e-05,7.71034e-05
96,1867.29,0.63179,1.16093,1.07125,0.17735,0.16667,0.21289,0.13669,1.45028,3.46655,1.64778,6.61045e-05,6.61045e-05,6.61045e-05
97,1884.86,0.5772,1.20577,0.99911,0.17735,0.16667,0.21289,0.13669,1.45028,3.46655,1.64778,5.51056e-05,5.51056e-05,5.51056e-05
98,1901.53,0.55844,1.14175,1.00953,0.50621,0.16667,0.21268,0.13523,1.44264,3.49305,1.63181,4.41067e-05,4.41067e-05,4.41067e-05
99,1917.79,0.58524,1.2176,1.04424,0.50621,0.16667,0.21268,0.13523,1.44264,3.49305,1.63181,3.31078e-05,3.31078e-05,3.31078e-05
100,1934.36,0.60868,1.15718,1.07006,0.50358,0.16667,0.21341,0.13582,1.45122,3.48287,1.6365,2.21089e-05,2.21089e-05,2.21089e-05
