epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1153.63,0.96823,1.5165,1.26619,0.01502,0.77778,0.07949,0.04633,1.50148,3.8007,1.51184,0.000547837,0.000547837,0.000547837
43,1183.42,1.06018,1.67209,1.36142,0.01502,0.77778,0.07949,0.04633,1.50148,3.8007,1.51184,0.000551689,0.000551689,0.000551689
44,1208.37,0.88745,1.50487,1.22643,0.01492,0.77778,0.08912,0.04673,1.51146,3.82417,1.54554,0.000555101,0.000555101,0.000555101
45,1236.53,0.959,1.60599,1.28321,0.01492,0.77778,0.08912,0.04673,1.51146,3.82417,1.54554,0.000558073,0.000558073,0.000558073
46,1258.73,1.07771,1.52281,1.33408,0.01189,0.72222,0.08086,0.042,1.53053,3.86437,1.61407,0.000560605,0.000560605,0.000560605
47,1280.38,0.95042,1.4973,1.28859,0.01189,0.72222,0.08086,0.042,1.53053,3.86437,1.61407,0.000562697,0.000562697,0.000562697
48,1301.67,0.92685,1.41973,1.24181,0.07791,0.44444,0.13023,0.0826,1.65223,3.94905,1.68328,0.000564349,0.000564349,0.000564349
49,1324.12,1.00751,1.57606,1.32502,0.07791,0.44444,0.13023,0.0826,1.65223,3.94905,1.68328,0.000565561,0.000565561,0.000565561
50,1348.69,0.85972,1.45812,1.25243,0.77314,0.31943,0.16208,0.11721,1.65383,3.92259,1.68496,0.000566333,0.000566333,0.000566333
51,1380.49,0.97339,1.61645,1.26362,0.77314,0.31943,0.16208,0.11721,1.65383,3.92259,1.68496,0.000561055,0.000561055,0.000561055
52,1415.76,1.02807,1.76492,1.32026,0.76828,0.30484,0.18447,0.1335,1.59907,4.01485,1.64697,0.000550056,0.000550056,0.000550056
53,1459.4,0.88924,1.46919,1.27483,0.76828,0.30484,0.18447,0.1335,1.59907,4.01485,1.64697,0.000539057,0.000539057,0.000539057
54,1503.94,0.95225,1.56316,1.24002,0.36019,0.33333,0.13523,0.095,1.54294,4.07092,1.60238,0.000528058,0.000528058,0.000528058
55,1546,1.01334,1.40702,1.2814,0.36019,0.33333,0.13523,0.095,1.54294,4.07092,1.60238,0.000517059,0.000517059,0.000517059
56,1569.7,0.94408,1.57982,1.29941,0.0115,0.66667,0.1478,0.10481,1.55943,4.06937,1.60139,0.00050606,0.00050606,0.00050606
57,1591.54,0.95366,1.39408,1.23122,0.0115,0.66667,0.1478,0.10481,1.55943,4.06937,1.60139,0.000495062,0.000495062,0.000495062
58,1624.16,0.87064,1.30538,1.18205,0.14011,0.05556,0.16584,0.1086,1.54662,3.96092,1.63616,0.000484063,0.000484063,0.000484063
59,1651.03,0.89184,1.29712,1.19005,0.14011,0.05556,0.16584,0.1086,1.54662,3.96092,1.63616,0.000473064,0.000473064,0.000473064
60,1673.84,0.96564,1.39486,1.27119,0.1257,0.05556,0.18608,0.11928,1.5087,3.79268,1.64253,0.000462065,0.000462065,0.000462065
61,1694.53,0.84517,1.34482,1.16796,0.1257,0.05556,0.18608,0.11928,1.5087,3.79268,1.64253,0.000451066,0.000451066,0.000451066
62,1714.59,0.91864,1.34512,1.25961,0.11473,0.05556,0.16324,0.10574,1.43264,3.67016,1.61974,0.000440067,0.000440067,0.000440067
63,1741.34,0.87802,1.35079,1.2382,0.11473,0.05556,0.16324,0.10574,1.43264,3.67016,1.61974,0.000429068,0.000429068,0.000429068
64,1774.31,0.9406,1.31445,1.26918,0.14205,0.08649,0.17872,0.10539,1.48443,3.75887,1.62117,0.000418069,0.000418069,0.000418069
65,1796.17,0.85869,1.26352,1.19178,0.14205,0.08649,0.17872,0.10539,1.48443,3.75887,1.62117,0.00040707,0.00040707,0.00040707
66,1821.66,0.93474,1.37827,1.18776,0.00838,0.77778,0.21167,0.11671,1.47161,3.80394,1.61267,0.000396071,0.000396071,0.000396071
67,1851.11,0.86116,1.2469,1.24745,0.00838,0.77778,0.21167,0.11671,1.47161,3.80394,1.61267,0.000385073,0.000385073,0.000385073
68,1882.34,0.75744,1.21634,1.15697,0.12041,0.06485,0.22235,0.13674,1.5194,3.7642,1.66702,0.000374074,0.000374074,0.000374074
69,1910.66,0.86807,1.22371,1.16194,0.12041,0.06485,0.22235,0.13674,1.5194,3.7642,1.66702,0.000363075,0.000363075,0.000363075
70,1940.09,0.88061,1.32126,1.19115,0.23999,0.14666,0.2238,0.152,1.52795,3.7282,1.66262,0.000352076,0.000352076,0.000352076
71,1970.21,0.86554,1.25721,1.15381,0.23999,0.14666,0.2238,0.152,1.52795,3.7282,1.66262,0.000341077,0.000341077,0.000341077
72,2002.83,0.73195,1.14243,1.09376,0.2119,0.16667,0.22997,0.15391,1.50713,3.633,1.66771,0.000330078,0.000330078,0.000330078
73,2034.33,0.75174,1.07806,1.09297,0.2119,0.16667,0.22997,0.15391,1.50713,3.633,1.66771,0.000319079,0.000319079,0.000319079
74,2070.7,0.75454,1.1489,1.13041,0.21023,0.19223,0.23558,0.13382,1.43402,3.55866,1.67366,0.00030808,0.00030808,0.00030808
75,2106.79,0.75138,1.1821,1.15776,0.21023,0.19223,0.23558,0.13382,1.43402,3.55866,1.67366,0.000297081,0.000297081,0.000297081
76,2139.5,0.77604,1.09013,1.12061,0.19863,0.22222,0.23275,0.13678,1.40814,3.47782,1.68343,0.000286083,0.000286083,0.000286083
77,2168.47,0.75279,1.26355,1.15295,0.19863,0.22222,0.23275,0.13678,1.40814,3.47782,1.68343,0.000275084,0.000275084,0.000275084
78,2202.22,0.74875,1.16507,1.1097,0.19265,0.22222,0.23689,0.14213,1.40957,3.41598,1.70415,0.000264085,0.000264085,0.000264085
79,2229.08,0.72028,1.01794,1.12791,0.19265,0.22222,0.23689,0.14213,1.40957,3.41598,1.70415,0.000253086,0.000253086,0.000253086
80,2251.59,0.74267,1.18294,1.11165,0.1942,0.22222,0.23551,0.14153,1.39302,3.38225,1.69613,0.000242087,0.000242087,0.000242087
